CP ID,Project Number,Project Category,Project Type,Project Name,Project Location,Description,Justification,Council District,Plan Cost,Estimated Cost,Actual Cost,Project Cost,Percent Spent,Estimated Start,Estimated End,Actual Start,Actual End,Status,Notes,Project SubType,Priority,Phase,PPA Number,x Coordinate,y Coordinate,Latitude,Longitude,Map URL,Mapped Location
5090,2017-R-002,Sidewalk,New Sidewalk,Andrew Jackson Parkway (At Old Lebanon Dirt Road),ANDREW JACKSON PKWY - Existing Sidewalk North of Railroad Tracks - OLD LEBANON DIRT RD,8' Sidewalk with Varying Furnishing Zone,Project provides sidewalk network connectivity to Dodson Elementary School,12,90000.00,90000.00,0.00,90000.00,0,02/26/2018,03/31/2019,05/14/2018,,In Progress,"Installation of new 8' sidewalk and varying furnishing zone along with curb, gutter, and storm drainage that provides sidewalk network connectivity to Dodson Elementary School",New,Medium,Under Construction,943-01017,1789316.01732429,676019.29312769,36.1889594,-86.60721137,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5090?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.1889594, -86.60721137)"
5113,,Sidewalk,New Sidewalk,WAUFORD DR - W LONGDALE DR - DANBY DR (East Of School),WAUFORD DR - W LONGDALE DR - DANBY DR,"Sidewalk, curb & gutter, and grass strip",Sidewalk to provide ADA accessible connectivity to Transit and Norman Binkley Elementary School,26,480000.00,698777.13,0.00,698777.13,0,2019,2020,12/02/2019,,In Progress,"Installation of new sidewalk along with curb, gutter, and storm drainage to provide ADA accessible connectivity to Transit and Norman Binkley Elementary School",New,Medium,Under Construction,943-01017,1747170.4271944,635295.76904804,36.076292,-86.74897148,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5113?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.076292, -86.74897148)"
5641,PV-SPR-18577,Paving,Paving,KIDD RD - MCFARLIN RD - COUNTY LINE,KIDD RD - MCFARLIN RD - COUNTY LINE,ROADWAY RESURFACING PAVING PROJECT ON 'KIDD RD',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",31,22950.00,44183.75,29427.69,29427.69,0,1900,1900,01/01/1900,07/10/2018,Complete,PAVING PROJECT: 'KIDD RD - MCFARLIN RD - COUNTY LINE',New,Low,Complete,1061-01018,1777389.41666667,598336.33333333,35.97536241,-86.64589428,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5641?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(35.97536241, -86.64589428)"
6596,,Bridge,Maintenance and Repair Jobs,Crocker Springs Road/ Crocker Springs Branch,CROCKER SPRINGS RD Over UNION HILL RD Between LICKTON PIKE And UNION HILL RD,"Bridge repairs - The work will consist of repair erosion at the southeast corner of the bridge, repair cracks in pierwall, repair delamination in pierwall, and repair concrete spalls in pierwall.",To address the deficiencies noted in the 2019 TDOT flagged bridges report.,03,7757.00,7757.00,0.00,7757.00,0,09/07/2020,09/11/2020,09/09/2020,09/09/2020,Complete,Concrete repairs complete.,Maintenance/Repairs,Medium,Complete,1411-11014,1729869.85300398,719698.90078976,36.30776543,-86.80988199,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6596?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.30776543, -86.80988199)"
6296,,Culvert,Steel Plates,505 Oakley Drive - Steel Plates,OAKLEY DR Over PRITCHETT DR Between TROUSDALE DR And PRITCHETT DR,Description of Work - The work includes the installation of steel plate over roadway failure. The installation of the steel plate is a temporary measure to maintain the roadway open to vehicular traffic.,To address the roadway failure and maintain the roadway to be safe for vehicular traffic.,26,5476.26,5476.26,5476.26,5476.26,0,05/18/2018,05/18/2018,05/18/2018,05/18/2018,Complete,The installation of the steel plate is complete.,Emergency Repair,High,Complete,215-04017,1744278.63174218,629301.47260624,36.05977147,-86.75860462,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6296?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.05977147, -86.75860462)"
6119,,Guardrail,New Guardrail,Cloverland Drive - Service Request,CLOVERLAND DR From VALLEY VIEW RD To CLOVERLAND DR,Guardrail Installation Project â€“ The work will consist of installation of guardrail along the east side of Cloverland Drive at Valley View Road,"To address guardrail repairs, new installation identified by service requests and Metro Public Works inspection personnel",04,9472.00,9472.00,8240.45,8240.45,0,03/18/2019,03/22/2019,03/18/2019,03/18/2019,Complete,Guardrail installation is complete,New,Medium,Complete,1238-04119,1741233.53970587,620373.79778139,36.03518202,-86.76866932,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6119?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.03518202, -86.76866932)"
6608,Study No. 825,Bridge,Cut Vegetation/Remove Debris,Elm Hill Pike/ Mill Creek,ELM HILL PIKE Over SPENCE LN Between MASSMAN DR And SPENCE LN,Remove Drift and Cut Vegetation â€“ The work will consist of removing drift adjacent to the pier and vegetation along the guardrail at the bridge and along the wingwalls,To address the recommended maintenance and repairs listed in the 2017 TDOT Flagged Bridges Report,15,12014.00,12014.00,13126.67,13126.67,0,03/16/2020,03/16/2020,03/17/2020,03/17/2020,Complete,Vegetation and drift removal complete,Maintenance/Repairs,Medium,Complete,1237-04119,1758003.69032902,660102.56345386,36.14466409,-86.71292994,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6608?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.14466409, -86.71292994)"
2150,PV-SPR-11407,Paving,Paving,INDIAN CREEK RD - RIVER ROAD PK - DEAD END,INDIAN CREEK RD - RIVER ROAD PK - DEAD END,ROADWAY RESURFACING PAVING PROJECT ON 'INDIAN CREEK RD',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",35,276250.00,162879.25,0.00,162879.25,0,,,03/27/2019,07/18/2019,Complete,PAVING PROJECT: 'INDIAN CREEK RD - RIVER ROAD PK - DEAD END',New,Low,Complete,1061-01018,1683370.55943094,658020.94995297,36.13752049,-86.96502336,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/2150?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.13752049, -86.96502336)"
6013,,Sidewalk,Sidewalk Repairs,21st Avenue South and Medical Center Drive Curb Ramps,21ST AVE S atMEDICAL CENTER DR,Install detectable warnings,To address missing detectable warnings,18,0.00,0.00,0.00,0.00,0,09/13/2018,09/14/2018,09/13/2018,09/14/2018,Complete,All sidewalk construction is complete,Maintenance/Repairs,Medium,Complete,1217-01015,1732265.90433881,659619.70963275,36.14279122,-86.80008361,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6013?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.14279122, -86.80008361)"
6298,,Culvert,Steel Plates,534 Brick Church Lane - Steel Plates,BRICK CHURCH LN Over KNIGHT DR Between TRAIL HOLLOW LN And KNIGHT DR,Description of Work - The work includes the installation of steel plate over roadway failure. The installation of the steel plate is a temporary measure to maintain the roadway open to vehicular traffic.,To address the roadway failure and maintain the roadway to be safe for vehicular traffic.,03,7134.83,7134.83,7134.83,7134.83,0,12/04/2018,12/04/2018,12/04/2018,12/04/2018,Complete,The installation of the steel plate is complete.,Emergency Repair,High,Complete,215-04017,1735632.80124303,696804.58084533,36.2450085,-86.78969726,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6298?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.2450085, -86.78969726)"
6011,,Sidewalk,Sidewalk Repairs,Natchez Trace Curb Ramp,NATCHEZ TRCE atCHILDRENS WAY,Install detectable warnings,To address missing detectable warnings,18,0.00,0.00,0.00,0.00,0,09/13/2018,09/13/2018,09/13/2018,09/13/2018,Complete,All sidewalk construction is complete,Maintenance/Repairs,Medium,Complete,1217-01015,1729129.2389221,658489.50632397,36.13961574,-86.8106747,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6011?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.13961574, -86.8106747)"
6295,,Culvert,Steel Plates,661 Brick Church lane - Steel Plates,BRICK CHURCH LN Over KNIGHT DR Between TRAIL HOLLOW LN And KNIGHT DR,Description of Work - The work includes the installation of steel plate over roadway failure. The installation of the steel plate is a temporary measure to maintain the roadway open to vehicular traffic.,To address the roadway failure and maintain the roadway to be safe for vehicular traffic.,03,3675.26,3675.26,3675.26,3675.26,0,05/17/2018,05/17/2018,05/17/2018,05/17/2018,Complete,The installation of the steel plate is complete.,Emergency Repair,High,Complete,215-04017,1733967.49325424,696611.54541306,36.24444122,-86.79533904,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6295?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.24444122, -86.79533904)"
6302,,Culvert,Steel Plates,50 Brookwood Terrace - Steel Plates,BROOKWOOD TER Over BROOKWOOD TER Between WHITE BRIDGE PIKE And BROOKWOOD TER,Description of Work - The work includes the installation of steel plate over roadway failure. The installation of the steel plate is a temporary measure to maintain the roadway open to vehicular traffic.,To address the roadway failure and maintain the roadway to be safe for vehicular traffic.,24,4018.11,4018.11,4018.11,4018.11,0,06/29/2018,06/29/2018,06/29/2018,06/29/2018,Complete,The installation of the steel plate is complete.,Emergency Repair,High,Complete,215-04017,1715947.38091781,654575.50750521,36.12855616,-86.85519927,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6302?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.12855616, -86.85519927)"
6301,,Culvert,Steel Plates,4329 Brick Church Pike - Steel Plates,BRICK CHURCH PIKE Over HUNTERS LN Between JACKSON RD And HUNTERS LN,Description of Work - The work includes the installation of steel plate over roadway failure. The installation of the steel plate is a temporary measure to maintain the roadway open to vehicular traffic.,To address the roadway failure and maintain the roadway to be safe for vehicular traffic.,03,2499.32,2499.32,2499.32,2499.32,0,01/08/2019,01/08/2019,01/08/2019,01/08/2019,Complete,The installation of the steel plate is complete.,Emergency Repair,High,Complete,215-04017,1738865.82856524,713561.13287189,36.29110689,-86.77918638,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6301?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.29110689, -86.77918638)"
6304,,Culvert,Steel Plates,537 Bismark Drive - Steel Plates,BISMARK DR at SNOOK DR,Description of Work - The work includes the installation of steel plate over roadway failure. The installation of the steel plate is a temporary measure to maintain the roadway open to vehicular traffic.,To address the roadway failure and maintain the roadway to be safe for vehicular traffic.,15,1804.51,1804.51,1804.51,1804.51,0,10/01/2018,10/01/2018,10/01/2018,10/01/2018,Complete,The installation of the steel plate is complete.,Emergency Repair,High,Complete,215-04017,1762079.52443027,663617.97796204,36.15440145,-86.69921112,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6304?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.15440145, -86.69921112)"
6300,,Culvert,Steel Plates,3529 Baxter Road - Steel Plates,BAXTER RD Over BIDWELL RD Between WHITES CREEK PIKE And BIDWELL RD,Description of Work - The work includes the installation of steel plate over roadway failure. The installation of the steel plate is a temporary measure to maintain the roadway open to vehicular traffic.,To address the roadway failure and maintain the roadway to be safe for vehicular traffic.,01,2786.75,2786.75,2786.75,2786.75,0,08/16/2018,08/16/2018,08/16/2018,08/16/2018,Complete,The installation of the steel plate is complete.,Emergency Repair,High,Complete,215-04017,1708149.32227723,735816.91524121,36.35152127,-86.88408871,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6300?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.35152127, -86.88408871)"
6294,,Culvert,Steel Plates,1317 Neely's Bend Circle - Steel Plates,NEELYS BEND CIR Over NEELYS BEND RD Between NEELYS BEND RD And NEELYS BEND RD,Description of Work - The work includes the installation of steel plate over roadway failure. The installation of the steel plate is a temporary measure to maintain the roadway open to vehicular traffic.,To address the roadway failure and maintain the roadway to be safe for vehicular traffic.,09,9416.52,9416.52,9416.52,9416.52,0,05/16/2018,05/16/2018,05/16/2018,05/16/2018,Complete,The installation of the steel plate is complete.,Emergency Repair,High,Complete,215-04017,1770120.27364161,694852.45055481,36.24035408,-86.67270285,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6294?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.24035408, -86.67270285)"
6297,,Culvert,Steel Plates,2048 Shaw Road - Steel Plates,SHAW RD Over LICKTON PIKE Between BRICK CHURCH PIKE And LICKTON PIKE,Description of Work - The work includes the installation of steel plate over roadway failure. The installation of the steel plate is a temporary measure to maintain the roadway open to vehicular traffic.,To address the roadway failure and maintain the roadway to be safe for vehicular traffic.,03,1294.51,1294.51,1294.51,1294.51,0,08/23/2018,08/23/2018,08/23/2018,08/23/2018,Complete,The installation of the steel plate is complete.,Emergency Repair,High,Complete,215-04017,1735471.8731037,719590.31700512,36.30759302,-86.79086738,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6297?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.30759302, -86.79086738)"
5813,,Culvert,Culvert Replacement,3139 Glencliff Road - 2018 Spring Paving Group,3140 GLENCLIFF RD Between NEESE DR And TWIN OAKS DR,"Culvert Replacement Project - The work will consist of removing existing 36â€ CMP pipe culvert, installation of 36â€ RCP pipe culvert, headwall, and roadway restoration.",To address the jobs identified by county wide culvert inspection program and to insure the safety of the traveling public,16,49529.00,49529.00,0.00,49529.00,0,10/21/2019,11/15/2019,10/21/2019,11/14/2015,Complete,Culvert installation complete,Replacement,Medium,Complete,1200-01018,1755570.69796108,645976.97540908,36.10581297,-86.72081753,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/5813?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.10581297, -86.72081753)"
1303,PV-12560,Paving,Paving,BURCH AVE - 29TH AV N - 31ST AV N,BURCH AVE - 29TH AV N - 31ST AV N,Paving project: BURCH AVE - 29TH AV N - 31ST AV N,Paving project needed,21,20445.11,61044.50,51109.62,51109.62,0,2017,2017,10/30/2017,11/08/2017,Complete,Paving project on BURCH AVE,New,Low,Complete,355-02017,1727670.81292083,661060.31526044,36.14663602,-86.8156839,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/1303?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.14663602, -86.8156839)"
1656,PV-12406,Paving,Paving,21ST AVE S - WEST END AV - TERRACE PL,21ST AVE S - WEST END AV - TERRACE PL,Paving project: 21ST AVE S - WEST END AV - TERRACE PL,Paving project needed,19,15741.58,0.00,0.00,15741.58,0,2017,2017,10/24/2017,11/13/2017,Complete,Paving project on 21ST AVE S,New,Low,Complete,355-02017,1732058.63251023,662252.90579757,36.1500129,-86.80085353,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/1656?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.1500129, -86.80085353)"
6254,PV-FL-18861,Paving,Paving,GATEWOOD AVE - DICKERSON PIKE - MERIDIAN ST,GATEWOOD AVE - DICKERSON PIKE - MERIDIAN ST,ROADWAY RESURFACING PAVING PROJECT ON 'GATEWOOD AVE',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",05,0.00,0.00,0.00,0.00,0,,,05/01/2020,05/26/2020,Complete,PAVING PROJECT: 'GATEWOOD AVE - DICKERSON PIKE - MERIDIAN ST',New,Low,Complete,1262-01119,1741344.16666667,680443.41666667,36.20019175,-86.76989339,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6254?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.20019175, -86.76989339)"
6520,,Guardrail,New Guardrail,213 Harpeth Valley Road - Culvert,HARPETH VALLEY RD From INDIAN SPRINGS DR To HICKORY HOLLOW RD,"Guardrail Installation - The work will include the installation of guardrail beginning approximately 75â€™ west of the culvert: Install a Type 21 Guardrail End Terminal, 75â€™ of Single Guardrail (Type 2) â€œOmit a post and nest the guardrail at the culvert as requiredâ€, and a Type 13 Guardrail Anchor",To address the untraversable side slopes adjacent to the pipe culvert and the culvert outlet headwall within the clear zone.,22,0.00,0.00,7039.00,7039.00,0,03/30/2020,03/30/2020,03/30/2020,03/30/2020,Complete,Guardrail installation complete,New,Medium,Complete,1415-11014,1686926.07859748,639998.73195821,36.08777861,-86.95298477,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6520?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.08777861, -86.95298477)"
6153,PV-SUM-18799,Paving,Paving,TULIPTREE CT - TULIPTREE LN - CUL-DE-SAC,TULIPTREE CT - TULIPTREE LN - CUL-DE-SAC,ROADWAY RESURFACING PAVING PROJECT ON 'TULIPTREE CT',"BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",35,11900.00,0.00,0.00,11900.00,0,,,04/22/2020,05/04/2020,Complete,PAVING PROJECT: 'TULIPTREE CT - TULIPTREE LN - CUL-DE-SAC',New,Low,Complete,1262-01119,1685989.5,626164.25,36.04975126,-86.95569718,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6153?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.04975126, -86.95569718)"
6484,,Sidewalk,New Curb Ramp,Hillside Ave Alley Ramp,Hillside Ave From 658 Aly To W Argyle Ave,Install alley ramp at intersection of Hillside Ave and 658 Aly.,ADA compliance needed at alley - Install alley ramp at intersection of Hillside Ave and 658 Aly.,17,18697.42,18697.42,10946.77,10946.77,0,01/09/2020,01/31/2020,01/16/2020,01/31/2020,Complete,ADA compliance needed at alley - Install alley ramp at intersection of Hillside Ave and 658 Aly.,New,Medium,Complete,1345-02018,1736995.51543001,657527.89221677,36.13715032,-86.78400928,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6484?layerName=Project Point' target='_blank' title='Click to open map'>View Map<a/>,"(36.13715032, -86.78400928)"
6262,PV-SA-18868,Paving,Paving,BRIARVILLE RD - DUE WEST AVE - CUL-DE-SAC,BRIARVILLE RD - DUE WEST AVE - CUL-DE-SAC,"ROADWAY RESURFACING PAVING PROJECT ON 'BRIARVILLE RD'
MACK â€“ LOOKS LIKE WE CAN GET A TURN LANE INTO SIDEKICKS WHEN DON PAVES BRIARVILLE / GRAYCROFT. 
FROM CHIP KNAUF
DON â€“ LETS TALK AGAIN AS PAVING SEASON KICKS OFF AFTER WINTER. SHE MENTIONS A SIGNAL AT CREATIVE. NOTHING FUNDED AT THIS TIME BUT WE STILL MIGHT WANT TO MODIFY THE PAVING IN THAT AREA. WILL KNOW MORE BY SPRING.","BASED ON THE CURRENT OVERALL CONDITION INDEX, THIS ROADWAY QUALIFIES FOR PAVING",08,0.00,86909.00,0.00,86909.00,0,,,04/20/2020,05/01/2020,Complete,PAVING PROJECT: 'BRIARVILLE RD - DUE WEST AVE - CUL-DE-SAC',New,Low,Complete,893-00000,1751614.33333333,698238.33333333,36.24928887,-86.73553981,<a href='https://mpw.nashville.gov/CapitalProjects/Project/InteractiveMap/6262?layerName=Project Line' target='_blank' title='Click to open map'>View Map<a/>,"(36.24928887, -86.73553981)"
